"task","model","weight_wall","day","run","latency","wall_zone","target_quadrant"
"fixed","place",NA,6,25,44.7200782091768,11.147643096792,38.291794781581
"fixed","place",NA,7,25,25.3781312699339,2.7431421446384,48.9587083504178
"fixed","place",NA,8,25,12.0368519650458,8.2185717096203,57.1135812184406
"fixed","place",NA,1,26,43.0400657665849,14.4179121610314,9.02416265129174
"fixed","place",NA,2,26,47.4488307443547,8.88618749682241,18.7024394351518
"fixed","place",NA,3,26,33.8454198151598,10.0204353626679,33.6308116335937
"fixed","place",NA,4,26,43.484526234973,13.2410546409827,27.929996150927
"fixed","place",NA,5,26,44.6494655450765,10.5469145580951,56.4975810444384
"fixed","place",NA,6,26,35.9852529023634,18.8230379345846,31.64977825295
"fixed","place",NA,7,26,38.4936785570851,13.6153011553768,32.2889661613138
"fixed","place",NA,8,26,15.608392297505,22.5301933178392,42.0777692492244
"fixed","place",NA,1,27,34.0512641785061,17.6454111455914,30.3239900005083
"fixed","place",NA,2,27,41.1853905475783,18.0688940005394,29.3143330076743
"fixed","place",NA,3,27,24.2011172868954,14.8715698463389,31.4500462808037
"fixed","place",NA,4,27,21.6377616812446,8.02761235221668,27.4561172929898
"fixed","place",NA,5,27,34.4689185269137,9.04173634732186,43.9588942683964
"fixed","place",NA,6,27,10.8345029595482,15.6031468531469,34.3656343656344
"fixed","place",NA,7,27,25.5276483709361,10.4744544450071,42.6566534899197
"fixed","place",NA,8,27,8.10346679009027,15.7142857142857,58.231456043956
"fixed","place",NA,1,28,60.0883192057763,24.3699576635934,22.300505874356
"fixed","place",NA,2,28,54.5506191994643,14.5721048036016,7.38608480975294
"fixed","place",NA,3,28,13.5389768379409,16.4940652954352,53.0210583131615
"fixed","place",NA,4,28,14.2794236882582,18.8801524259339,32.2452532072795
"fixed","place",NA,5,28,16.1654415140742,8.00963133052685,41.9918431201911
"fixed","place",NA,6,28,7.62984965797603,13.072744449693,25.7024343747891
"fixed","place",NA,7,28,22.2602312002117,3.08408621085675,66.3210481112506
"fixed","place",NA,8,28,14.2176580718199,5.625,58.427395754948
"fixed","place",NA,1,29,46.668191580786,21.4639287994063,29.7151791708942
"fixed","place",NA,2,29,56.0384990641288,18.629313650933,11.4045299807838
"fixed","place",NA,3,29,38.8518856848062,22.8618646133184,22.8317294563256
"fixed","place",NA,4,29,44.1543714891126,12.1161619104699,14.4067426392466
"fixed","place",NA,5,29,46.0955672187786,9.85913675768334,27.310147913167
"fixed","place",NA,6,29,34.2226874165977,14.5505018686846,17.0999460465511
"fixed","place",NA,7,29,60.1387745588655,14.6078672312163,14.1970619959619
